TEMA;DIFICULDADE;Pergunta;Alternativa A;Alternativa B;Alternativa C;Alternativa D;Alternativa Correta;Audio;ImagemVideo
Cores;Fácil;De que cor é o céu em um dia sem nuvens?;Azul;Laranja;Preto;Rosa;A;;
Cores;Fácil;Qual fruta é geralmente vermelha?;Banana;Maçã;Uva verde;Melão;B;;
Cores;Fácil;Qual dessas coisas é normalmente verde?;Folha de árvore;Neve;Carvão;Leite;A;;
Cores;Fácil;De que cor é o sol quando desenhamos no papel?;Amarelo;Azul;Roxo;Cinza;A;;
Cores;Fácil;Qual dessas é uma cor primária?;Vermelho;Rosa;Marrom;Cinza;A;;
Animais;Fácil;Qual desses animais late?;Cachorro;Gato;Pássaro;Peixe;A;;
Animais;Fácil;Qual desses animais mia?;Cachorro;Gato;Cavalo;Galinha;B;;
Animais;Fácil;Qual desses animais vive na água?;Peixe;Galo;Cavalo;Macaco;A;;
Animais;Fácil;Qual desses animais é bem grande e tem tromba?;Elefante;Rato;Sapo;Formiga;A;;
Animais;Fácil;Qual desses animais bota ovos?;Galinha;Cachorro;Gato;Coelho;A;;
Números;Fácil;Quanto é 2 + 2?;3;4;5;6;B;;
Números;Fácil;Qual número vem depois do 5?;4;5;6;7;C;;
Números;Fácil;Quantos olhos a maioria das pessoas tem?;1;2;3;4;B;;
Números;Fácil;Se você tem 3 balas e ganha mais 1, fica com:;3;2;4;5;C;;
Números;Fácil;Qual é o menor número?;0;2;5;8;A;;
Formas;Fácil;Que forma tem uma bola?;Círculo;Quadrado;Triângulo;Retângulo;A;;
Formas;Fácil;Quantos lados tem um quadrado?;3;4;5;6;B;;
Formas;Fácil;Que forma tem uma pizza inteira vista de cima?;Círculo;Triângulo;Quadrado;Retângulo;A;;
Formas;Fácil;Qual figura tem 3 lados?;Triângulo;Quadrado;Círculo;Retângulo;A;;
Formas;Fácil;Qual dessas coisas é retangular?;Porta;Bola;Prato redondo;Sol;A;;
Corpo Humano;Fácil;Com o que nós vemos?;Olhos;Nariz;Pés;Barriga;A;;
Corpo Humano;Fácil;Com o que escutamos os sons?;Mãos;Olhos;Orelhas;Pernas;C;;
Corpo Humano;Fácil;Quantas mãos temos?;Uma;Duas;Três;Quatro;B;;
Corpo Humano;Fácil;Onde colocamos os sapatos?;Cabeça;Mãos;Pés;Barriga;C;;
Corpo Humano;Fácil;Qual parte do corpo usamos para cheirar?;Nariz;Orelhas;Olhos;Joelhos;A;;
Escola e Casa;Fácil;Onde guardamos os lápis na escola?;Estojo;Geladeira;Armário da cozinha;Banheiro;A;;
Escola e Casa;Fácil;Qual desses usamos para apagar o lápis?;Tesoura;Borracha;Régua;Cola;B;;
Escola e Casa;Fácil;Qual desses é usado para cortar papel?;Tesoura;Lápis;Borracha;Livro;A;;
Escola e Casa;Fácil;Onde dormimos à noite?;Mesa;Cama;Sofá;Chão da sala;B;;
Escola e Casa;Fácil;O que usamos para escovar os dentes?;Escova de cabelo;Escova de dentes;Colher;Régua;B;;
Alimentos;Fácil;Qual desses é uma fruta?;Maçã;Arroz;Feijão;Pão;A;;
Alimentos;Fácil;Qual desses é um legume?;Cenoura;Biscoito;Chocolate;Sorvete;A;;
Alimentos;Fácil;Qual opção é mais saudável para o lanche?;Refrigerante e bala;Suco e fruta;Chocolate e sorvete;Só salgadinho;B;;
Alimentos;Fácil;O que usamos para beber sopa?;Garfo;Faca;Colher;Palito;C;;
Alimentos;Fácil;Qual desses alimentos é doce?;Sorvete;Alface;Arroz;Ovo;A;;
Dia a Dia;Fácil;Em que usamos os pneus?;Carro;Livro;Colher;Televisão;A;;
Dia a Dia;Fácil;O que usamos para ver desenhos animados?;Geladeira;Televisão;Fogão;Ventilador;B;;
Dia a Dia;Fácil;O que usamos para proteger da chuva?;Boné;Óculos;Guarda-chuva;Luvas;C;;
Dia a Dia;Fácil;O que vestimos nos pés para sair de casa?;Chapéu;Sapatos;Luva;Cinto;B;;
Dia a Dia;Fácil;O que usamos para ver as horas?;Relógio;Prato;Copo;Brinquedo;A;;
