TEMA;DIFICULDADE;Pergunta;Alternativa A;Alternativa B;Alternativa C;Alternativa D;Alternativa Correta;Audio;ImagemVideo
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;The Big Bang Theory;The Office;South Park;Smallville;C;audio/aberturas_series/20250809180713603303134.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;La Casa de Papel;ThunderCats;The O.C.;Vikings;B;audio/aberturas_series/20250809180455761287927.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;House;Two And a Half Men;Os Simpsons;Stranger Things;C;audio/aberturas_series/20250809180507747809827.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;La Casa de Papel;Friends;South Park;O Fantástico Mundo de BOB;D;audio/aberturas_series/20250809180516899358630.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Pokémon;Wandinha;Beyblade;Friends;A;audio/aberturas_series/20250809180526974375307.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Stranger Things;Beyblade;Wandinha;Friends;B;audio/aberturas_series/20250809180537910870075.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Pacificador;ThunderCats;YuGiOh!;O Fantástico Mundo de BOB;C;audio/aberturas_series/20250809180552620810211.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Desventuras em série;O Fantástico Mundo de BOB;The Big Bang Theory;Pacificador;D;audio/aberturas_series/20250809180604987205624.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;The Walking Dead;Pokémon;ThunderCats;Stranger Things;A;audio/aberturas_series/20250809180615653247654.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Breaking Bad;The Office;How I Met Your Mother;Vikings;B;audio/aberturas_series/20250809180623637787580.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Um Maluco no Pedaço;Os Simpsons;How I Met Your Mother;Wandinha;C;audio/aberturas_series/20250809180632357553423.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;YuGiOh!;La Casa de Papel;The Big Bang Theory;The O.C.;D;audio/aberturas_series/20250809180642277937293.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Modern Family;The Big Bang Theory;YuGiOh!;Liga da Justiça;A;audio/aberturas_series/20250809180434661229431.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;ThunderCats;Dexter;Pokémon;Wandinha;B;audio/aberturas_series/20250809180701069573403.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;House;Pacificador;O Fantástico Mundo de BOB;La Casa de Papel;A;audio/aberturas_series/20250809180310233822048.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Desventuras em série;Vikings;Um Maluco no Pedaço;The Flintstones;D;audio/aberturas_series/20250809180723385933519.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Um Maluco no Pedaço;Smallville;South Park;The Big Bang Theory;A;audio/aberturas_series/20250809180735062120736.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Vikings;Stranger Things;Breaking Bad;Pacificador;B;audio/aberturas_series/20250809180750115285159.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;The O.C.;La Casa de Papel;Futurama;South Park;C;audio/aberturas_series/20250809180805418438375.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Breaking Bad;Desventuras em série;The Flintstones;Dexter;A;audio/aberturas_series/20250809180845616796017.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;The O.C.;Vikings;South Park;Dexter;B;audio/aberturas_series/20250809180854865077674.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;The Walking Dead;The Big Bang Theory;Smallville;South Park;C;audio/aberturas_series/20250809180904361397863.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Modern Family;Futurama;Pacificador;The Big Bang Theory;D;audio/aberturas_series/20250809180915090805829.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Friends;The Walking Dead;Two And a Half Men;Desventuras em série;A;audio/aberturas_series/20250809180923693704366.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Beyblade;Desventuras em série;Pacificador;ThunderCats;B;audio/aberturas_series/20250809180940999281823.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Beyblade;The O.C.;Wandinha;The Big Bang Theory;C;audio/aberturas_series/20250809180949851271987.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Futurama;Breaking Bad;Beyblade;La Casa de Papel;D;audio/aberturas_series/20250809180338525825143.mp3;
Aberturas de séries;Fácil;Este é o tema de abertura de qual série de TV?;Two And a Half Men;The O.C.;Futurama;Beyblade;A;audio/aberturas_series/20250809180651735734045.mp3;
