TEMA;DIFICULDADE;Pergunta;Alternativa A;Alternativa B;Alternativa C;Alternativa D;Alternativa Correta;Audio;ImagemVideo
Qual é a música;Fácil;Qual é o nome desta música?;The Kill;A Beautiful Lie;Kings And Queens;From Yesterday;A;C:\QI Max\media\sounds\30 Seconds To Mars..The Kill (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;The Offspring;Green Day;Sum 41;Blink-182;B;C:\QI Max\media\sounds\American Idiot - Green Day #lyrics (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Can't Stop;Californication;By The Way;Otherside;C;C:\QI Max\media\sounds\By The Way ALBUM REVIEW #redhotchilipeppers #rhcp (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Legião Urbana;Nenhum De Nós;Titãs;Capital Inicial;D;C:\QI Max\media\sounds\Capital Inicial - Primeiros Erros #short #shortvideo #talentosmusicais (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Proibida Pra Mim;Zóio De Lula;Senhor Do Tempo;Meu Novo Mundo;A;C:\QI Max\media\sounds\Charlie Brown Jr. - Proibida pra Mim (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;NX Zero;CPM 22;Fresno;Strike;B;C:\QI Max\media\sounds\Dias atr s - CPM22 #diasatras #cpm22 #rocknacional (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Basket Case;Wake Me Up;Holiday;Time Of Your Life;C;C:\QI Max\media\sounds\Green Day - Holiday (Official Audio) (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;The Offspring;Sum 41;Blink-182;Green Day;D;C:\QI Max\media\sounds\Green Day   Boulevard of broken dreams #greenday #music #lyrics (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Paradise City;Welcome To Jungle;Sweet Child O' Mine;November Rain;A;C:\QI Max\media\sounds\Guns N' Roses - Paradise City Ý Lyrics (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Papa Roach;Linkin Park;Evanescence;Limp Bizkit;B;C:\QI Max\media\sounds\In The End [Official HD Music Video] - Linkin Park (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Eu Quero Ver;Mulher De Fases;Me Lambe;Me Adora;C;C:\QI Max\media\sounds\Me lambe-Raimundos (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;CPM 22;Detonautas;Raimundos;Charlie Brown Jr.;D;C:\QI Max\media\sounds\Meu Novo Mundo - Charlie Brown Jr. (Tipografia/Status) (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Na Sua Estante;Teto De Vidro;Admirável Chip;Máscara;A;C:\QI Max\media\sounds\Na Sua Estante - Pitty (Tipografia/Lyrics) (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Pearl Jam;Nirvana;Alice In Chains;Soundgarden;B;C:\QI Max\media\sounds\Nirvana - Smells Like Teen Spirit (Official Music Video) (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Natasha;Primeiros Erros;O Mundo;Tudo Que Vai;C;C:\QI Max\media\sounds\O Mundo -Capital inicial - #Shorts - (Letra Nacional Status) (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Coldplay;Muse;Blur;Radiohead;D;C:\QI Max\media\sounds\Radiohead - Creep (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Californication;Scar Tissue;Otherside;By The Way;A;C:\QI Max\media\sounds\Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE] (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Franz Ferdinand;The Killers;Keane;The Strokes;B;C:\QI Max\media\sounds\Somebody Told Me  - The Killer #shorts #viral #viralvideo #topsongs  #SomebodyToldMe #TheKiller (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Toxicity;B.Y.O.B.;Chop Suey!;Aerials;C;C:\QI Max\media\sounds\System Of A Down - Chop Suey! (Official HD Video) (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;The Black Keys;Kasabian;Arctic Monkeys;The White Stripes;D;C:\QI Max\media\sounds\The White Stripes - Seven Nation Army (Official Music Video) (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Vertigo;Elevation;Beautiful Day;One;A;C:\QI Max\media\sounds\U2 - Vertigo (128kbit_AAC).mp3;
