TEMA;DIFICULDADE;Pergunta;Alternativa A;Alternativa B;Alternativa C;Alternativa D;Alternativa Correta;Audio;ImagemVideo
Qual é a música;Fácil;Qual é o nome desta música?;The Kill;A Beautiful Lie;Kings And Queens;From Yesterday;A;audio/qual_e_a_musica/30 Seconds To Mars..The Kill (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;The Offspring;Green Day;Sum 41;Blink-182;B;audio/qual_e_a_musica/American Idiot - Green Day #lyrics (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Can't Stop;Californication;By The Way;Otherside;C;audio/qual_e_a_musica/By The Way ALBUM REVIEW #redhotchilipeppers #rhcp (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Legião Urbana;Nenhum De Nós;Titãs;Capital Inicial;D;audio/qual_e_a_musica/Capital Inicial - Primeiros Erros #short #shortvideo #talentosmusicais (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Proibida Pra Mim;Zóio De Lula;Senhor Do Tempo;Meu Novo Mundo;A;audio/qual_e_a_musica/Charlie Brown Jr. - Proibida pra Mim (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;NX Zero;CPM 22;Fresno;Strike;B;audio/qual_e_a_musica/Dias atr s - CPM22 #diasatras #cpm22 #rocknacional (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Basket Case;Wake Me Up;Holiday;Time Of Your Life;C;audio/qual_e_a_musica/Green Day - Holiday (Official Audio) (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;The Offspring;Sum 41;Blink-182;Green Day;D;audio/qual_e_a_musica/Green Day   Boulevard of broken dreams #greenday #music #lyrics (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Paradise City;Welcome To Jungle;Sweet Child O' Mine;November Rain;A;audio/qual_e_a_musica/Guns N' Roses - Paradise City Ý Lyrics (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Papa Roach;Linkin Park;Evanescence;Limp Bizkit;B;audio/qual_e_a_musica/In The End [Official HD Music Video] - Linkin Park (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Eu Quero Ver;Mulher De Fases;Me Lambe;Me Adora;C;audio/qual_e_a_musica/Me lambe-Raimundos (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;CPM 22;Detonautas;Raimundos;Charlie Brown Jr.;D;audio/qual_e_a_musica/Status) (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Na Sua Estante;Teto De Vidro;Admirável Chip;Máscara;A;audio/qual_e_a_musica/Lyrics) (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Pearl Jam;Nirvana;Alice In Chains;Soundgarden;B;audio/qual_e_a_musica/Nirvana - Smells Like Teen Spirit (Official Music Video) (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Natasha;Primeiros Erros;O Mundo;Tudo Que Vai;C;audio/qual_e_a_musica/O Mundo -Capital inicial - #Shorts - (Letra Nacional Status) (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Coldplay;Muse;Blur;Radiohead;D;audio/qual_e_a_musica/Radiohead - Creep (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Californication;Scar Tissue;Otherside;By The Way;A;audio/qual_e_a_musica/Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE] (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;Franz Ferdinand;The Killers;Keane;The Strokes;B;audio/qual_e_a_musica/Somebody Told Me  - The Killer #shorts #viral #viralvideo #topsongs  #SomebodyToldMe #TheKiller (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Toxicity;B.Y.O.B.;Chop Suey!;Aerials;C;audio/qual_e_a_musica/System Of A Down - Chop Suey! (Official HD Video) (128kbit_AAC).mp3;
Qual é a música;Fácil;De qual banda é esta música?;The Black Keys;Kasabian;Arctic Monkeys;The White Stripes;D;audio/qual_e_a_musica/The White Stripes - Seven Nation Army (Official Music Video) (128kbit_AAC).mp3;
Qual é a música;Fácil;Qual é o nome desta música?;Vertigo;Elevation;Beautiful Day;One;A;audio/qual_e_a_musica/U2 - Vertigo (128kbit_AAC).mp3;
