TEMA	DIFICULDADE	Pergunta	Alternativa A	Alternativa B	Alternativa C	Alternativa D	Alternativa Correta
Modelos Remuneratórios	Fácil	Qual era a unidade de cálculo principal utilizada na Tabela AMB-92?	CH (Coeficiente de Honorário)	Porte	UCO	Taxa de sala	A
CBHPM	Fácil	O que significa a sigla CH na AMB-92?	Coeficiente Hospitalar	Coeficiente de Honorário	Coeficiente Humano	Custo Hospitalar	B
Modelos Remuneratórios	Fácil	A CBHPM foi criada em 2003 com o objetivo de:	Atualizar valores da AMB-92	Hierarquizar procedimentos médicos	Criar novas especialidades médicas	Substituir a TUSS	B
Histórico de Tabelas	Médio	Quem elaborou a CBHPM?	AMB e CFM	ANS	MS e ANVISA	Conselho Nacional de Saúde	A
Gestão de Rede	Fácil	A principal diferença entre AMB-92 e CBHPM é:	A forma de codificação dos exames	A hierarquização dos procedimentos	O valor do CH	A inclusão de filmes radiográficos	B
Modelos Remuneratórios	Fácil	Na CBHPM, o honorário médico é calculado com base em:	Porte x Valor do CH	CH + UCO	Taxa fixa	Percentual do SUS	A
CBHPM	Médio	Qual o percentual pago ao primeiro auxiliar cirúrgico na CBHPM até 2018?	20%	25%	30%	40%	C
CBHPM	Médio	Em cirurgias múltiplas pelo mesmo acesso, o segundo procedimento é remunerado em:	100%	80%	50%	70%	C
Modelos Remuneratórios	Médio	O porte anestésico varia de:	1 a 5	1 a 7	1 a 10	1 a 12	B
Gestão de Rede	Fácil	A UCO representa:	Honorário médico	Custo operacional	Material hospitalar	Taxa administrativa	B
CBHPM	Médio	No modelo Fee-for-Service, o pagamento é baseado em:	Desempenho clínico	Número de procedimentos realizados	População assistida	Resultado clínico	B
Gestão de Rede	Médio	No modelo de Captação, o prestador recebe:	Por procedimento	Por episódio	Por paciente vinculado	Por diária hospitalar	C
Modelos Remuneratórios	Fácil	No orçamento global, o pagamento é:	Por vida	Por serviço	Por pacote	Por período (ex: anual)	D
CBHPM	Fácil	O modelo Bundle se refere a:	Pagamento por procedimento	Pagamento por episódio completo de cuidado	Pagamento mensal fixo	Reembolso por despesa	B
Histórico de Tabelas	Fácil	O principal risco do modelo de Captação é:	Má Assistência	Superprodução	Falta de pagamento	Atraso de glosas	A
Histórico de Tabelas	Médio	O modelo Fee-for-Service tende a incentivar:	Prevenção	Eficiência	Volume de serviços	Economia de recursos	C
Histórico de Tabelas	Médio	No orçamento global, se o hospital gasta menos que o previsto:	Devolve à operadora	Perde o excedente	Mantém a economia	Divide com a operadora	C
Modelos Remuneratórios	Fácil	O Bundle é especialmente indicado para:	Cirurgias e internações de curto prazo	Atenção primária	Home care	Psiquiatria	A
Modelos Remuneratórios	Fácil	O modelo de Captação tem origem no termo em latin:	Caput (cabeça)	Captura (coleta)	Capital (recursos)	Capella (cuidados)	A
Modelos Remuneratórios	Fácil	A CBHPM é compatível com qual padrão da ANS?	ROL	TUSS	QUALISS	IDSS	B
Histórico de Tabelas	Fácil	Na AMB-92, o filme radiográfico era cobrado:	Por m² de área usada	Por exame	Por porte	Não era cobrado	A

