TEMA;DIFICULDADE;Pergunta;Alternativa A;Alternativa B;Alternativa C;Alternativa D;Alternativa Correta;Audio;ImagemVideo
Pokédex;Fácil;Quem é esse Pokémon?;Bulbasaur;Goldeen;Zubat;Omastar;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_bulbasaur.png
Pokédex;Fácil;Quem é esse Pokémon?;Seel;Ivysaur;Spearow;Sandshrew;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_ivysaur.png
Pokédex;Fácil;Quem é esse Pokémon?;Jolteon;Voltorb;Venusaur;Haunter;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_venusaur.png
Pokédex;Fácil;Quem é esse Pokémon?;Magikarp;Abra;Rattata;Charmander;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_charmander.png
Pokédex;Fácil;Quem é esse Pokémon?;Charmeleon;Machamp;Exeggutor;Kakuna;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_charmeleon.png
Pokédex;Fácil;Quem é esse Pokémon?;Seaking;Charizard;Dratini;Ivysaur;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_charizard.png
Pokédex;Fácil;Quem é esse Pokémon?;Venusaur;Drowzee;Squirtle;Electabuzz;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_squirtle.png
Pokédex;Fácil;Quem é esse Pokémon?;Geodude;Scyther;Bellsprout;Wartortle;D;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_wartortle.png
Pokédex;Fácil;Quem é esse Pokémon?;Blastoise;Mr. Mime;Abra;Porygon;A;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_blastoise.png
Pokédex;Fácil;Quem é esse Pokémon?;Pidgeotto;Caterpie;Seaking;Drowzee;B;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_caterpie.png
Pokédex;Fácil;Quem é esse Pokémon?;Dratini;Parasect;Metapod;Arcanine;C;C:\QI Max\media\sounds\pokemon\queméessepokemon.mp3;C:\QI Max\media\images\pokemon\primeira\pokemon_metapod.png
